Row;GTIN;Name;Last updated;GTIN Label
1105;7350018537900;Not found;-;-
1106;7350018596211;Not found;-;-
1107;7350018596747;Not found;-;-
1108;7350018810331;Saba Blommor AB;Last updated: 2016-07-21;(GLN: 7391628000002, GCP: 735 001881)
1109;7350018852133;Not found;-;-
1110;7350018900384;Not found;-;-
1111;7350019000519;;Broken at gs1.se;()
1112;7350019712962;Not found;-;-
1113;7350019716298;Not found;-;-
1114;7350019716328;Not found;-;-
1115;7350021250032;;Broken at gs1.se;()
1116;7350021500496;Not found;-;-
1117;7350022130227;North & South Fair Trade AB;Last updated: 2016-03-25;(GLN: 7350022130005, GCP: 735 002213)
1118;7350022924154;Not found;-;-
1119;7350022927070;Not found;-;-
1120;7350023221122;Not found;-;-
1121;7350023225212;Not found;-;-
1122;7350023971058;Eva Olsson;Last updated: 2015-11-24;(GLN: 7350023970006, GCP: 735 002397)
1123;7350023971393;Eva Olsson;Last updated: 2015-11-24;(GLN: 7350023970006, GCP: 735 002397)
1124;7350023975018;Eva Olsson;Last updated: 2015-11-24;(GLN: 7350023970006, GCP: 735 002397)
1125;7350023975070;Eva Olsson;Last updated: 2015-11-24;(GLN: 7350023970006, GCP: 735 002397)
1126;7350024166347;Not found;-;-
1127;7350024168310;Not found;-;-
1128;7350024168327;Not found;-;-
1129;7350024168334;Not found;-;-
1130;7350024170856;Not found;-;-
1131;7350026207529;Not found;-;-
1132;7350026410059;Not found;-;-
1133;7350026410288;Not found;-;-
1134;7350026411285;Not found;-;-
1135;7350026413272;Not found;-;-
1136;7350026414521;Not found;-;-
1137;7350026414538;Not found;-;-
1138;7350026414675;Not found;-;-
1139;7350026415061;Not found;-;-
1140;7350026415115;Not found;-;-
1141;7350026415900;Not found;-;-
1142;7350026415931;Not found;-;-
1143;7350026440025;Not found;-;-
1144;7350026499009;Not found;-;-
1145;7350026550052;Not found;-;-
1146;7350026550731;Not found;-;-
1147;7350027000150;Not found;-;-
1148;7350028060016;Not found;-;-
1149;7350029700089;Not found;-;-
1150;7350029709617;Not found;-;-
1151;7350030385374;Not found;-;-
1152;7350030860017;Not found;-;-
1153;7350030860031;Not found;-;-
1154;7350030860062;Not found;-;-
1155;7350030860079;Not found;-;-
1156;7350030860130;Not found;-;-
1157;7350030860178;Not found;-;-
1158;7350030860185;Not found;-;-
1159;7350030860222;Not found;-;-
1160;7350030860291;Not found;-;-
1161;7350030860307;Not found;-;-
1162;7350030860314;Not found;-;-
1163;7350030860338;Not found;-;-
1164;7350030860604;Not found;-;-
1165;7350030860611;Not found;-;-
1166;7350030864046;Not found;-;-
1167;7350030865012;Not found;-;-
1168;7350030865104;Not found;-;-
1169;7350030866118;Not found;-;-
1170;7350030866187;Not found;-;-
1171;7350030866200;Not found;-;-
1172;7350030866217;Not found;-;-
1173;7350030866231;Not found;-;-
1174;7350030866255;Not found;-;-
1175;7350030866262;Not found;-;-
1176;7350030866279;Not found;-;-
1177;7350030866330;Not found;-;-
1178;7350030866347;Not found;-;-
1179;7350030866415;Not found;-;-
1180;7350030866422;Not found;-;-
1181;7350030866460;Not found;-;-
1182;7350030866545;Not found;-;-
1183;7350030866552;Not found;-;-
1184;7350030866569;Not found;-;-
1185;7350030866576;Not found;-;-
1186;7350030866583;Not found;-;-
1187;7350030866590;Not found;-;-
1188;7350030866606;Not found;-;-
1189;7350030866613;Not found;-;-
1190;7350030866620;Not found;-;-
1191;7350030866644;Not found;-;-
1192;7350030866651;Not found;-;-
1193;7350030866682;Not found;-;-
1194;7350030866699;Not found;-;-
1195;7350030866705;Not found;-;-
1196;7350030866712;Not found;-;-
1197;7350030866729;Not found;-;-
1198;7350030866736;Not found;-;-
1199;7350030866743;Not found;-;-
1200;7350030866750;Not found;-;-
1201;7350030866767;Not found;-;-
1202;7350030866781;Not found;-;-
1203;7350030866804;Not found;-;-
1204;7350030869706;Not found;-;-
1205;7350030869713;Not found;-;-
1206;7350030869720;Not found;-;-
1207;7350030869966;Not found;-;-
1208;7350030920100;Not found;-;-
1209;7350030920117;Not found;-;-
1210;7350030920988;Not found;-;-
1211;7350031188103;Not found;-;-
1212;7350031730500;Not found;-;-
1213;7350031730531;Not found;-;-
1214;7350031730555;Not found;-;-
1215;7350032580012;Not found;-;-
1216;7350032580074;Not found;-;-
1217;7350033466162;Conny Möller;Last updated: 2016-05-16;(GLN: 7350033460009, GCP: 735 003346)
1218;7350034502432;Not found;-;-
1219;7350034651062;Not found;-;-
1220;7350034653844;Not found;-;-
1221;7350034653943;Not found;-;-
1222;7350035170104;Not found;-;-
1223;7350036424114;Not found;-;-
1224;7350036600044;Not found;-;-
1225;7350036760281;Not found;-;-
1226;7350036760373;Not found;-;-
1227;7350037640032;NPB Natur Produkter Björk AB;Last updated: 2016-09-19;(GLN: 7350037640001, GCP: 735 003764)
1228;7350037840425;Gajane Gross KB;Last updated: 2016-05-12;(GLN: 7350037840005, GCP: 735 003784)
1229;7350040440025;Not found;-;-
1230;7350040440049;Not found;-;-
1231;7350040440056;Not found;-;-
1232;7350040440193;Not found;-;-
1233;7350040440308;Not found;-;-
1234;7350040440315;Not found;-;-
1235;7350040440322;Not found;-;-
1236;7350040440346;Not found;-;-
1237;7350040440438;Not found;-;-
1238;7350040440445;Not found;-;-
1239;7350040440452;Not found;-;-
1240;7350040440469;Not found;-;-
1241;7350040440476;Not found;-;-
1242;7350040440483;Not found;-;-
1243;7350040440490;Not found;-;-
1244;7350040440506;Not found;-;-
1245;7350040440513;Not found;-;-
1246;7350040440520;Not found;-;-
1247;7350040440858;Not found;-;-
1248;7350040440865;Not found;-;-
1249;7350040440902;Not found;-;-
1250;7350040440919;Not found;-;-
1251;7350040440926;Not found;-;-
1252;7350040440933;Not found;-;-
1253;7350040440964;Not found;-;-
1254;7350040440988;Not found;-;-
1255;7350040441008;Not found;-;-
1256;7350040441015;Not found;-;-
1257;7350040441022;Not found;-;-
1258;7350040441039;Not found;-;-
1259;7350040441046;Not found;-;-
1260;7350040441053;Not found;-;-
1261;7350040441060;Not found;-;-
1262;7350040441084;Not found;-;-
1263;7350040441091;Not found;-;-
1264;7350040441114;Not found;-;-
1265;7350040441121;Not found;-;-
1266;7350040441138;Not found;-;-
1267;7350040441169;Not found;-;-
1268;7350040441213;Not found;-;-
1269;7350040446218;Not found;-;-
1270;7350040446225;Not found;-;-
1271;7350040446232;Not found;-;-
1272;7350040446560;Not found;-;-
1273;7350040751596;Not found;-;-
1274;7350040753019;Not found;-;-
1275;7350040802021;Not found;-;-
1276;7350040803028;Not found;-;-
1277;7350040803059;Not found;-;-
1278;7350040803080;Not found;-;-
1279;7350040882016;Not found;-;-
1280;7350040882115;Not found;-;-
1281;7350040883013;Not found;-;-
1282;7350040883037;Not found;-;-
1283;7350040883075;Not found;-;-
1284;7350040883204;Not found;-;-
1285;7350040885109;Not found;-;-
1286;7350040888513;Not found;-;-
1287;7350040888520;Not found;-;-
1288;7350040889138;Not found;-;-
1289;7350040889145;Not found;-;-
1290;7350040889176;Not found;-;-
1291;7350040950012;Not found;-;-
1292;7350040950029;Not found;-;-
1293;7350040950173;Not found;-;-
1294;7350040950234;Not found;-;-
1295;7350040950302;Not found;-;-
1296;7350040950326;Not found;-;-
1297;7350040950340;Not found;-;-
1298;7350040950364;Not found;-;-
1299;7350042730032;Cancerfonden - Riksföreningen Mot Cancer;Last updated: 2015-11-24;(GLN: 7350042730001, GCP: 735 004273)
1300;7350042740116;Christer Fransson;Last updated: 2015-11-24;(GLN: 7350042740000, GCP: 735 004274)
1301;7350042823529;Not found;-;-
1302;7350042825004;Not found;-;-
1303;7350043215705;Not found;-;-
1304;7350043650636;Not found;-;-
1305;7350043850333;Not found;-;-
1306;7350043850944;Not found;-;-
1307;7350043850951;Not found;-;-
1308;7350043850975;Not found;-;-
1309;7350043851057;Not found;-;-
1310;7350043851088;Not found;-;-
1311;7350043851125;Not found;-;-
1312;7350043851545;Not found;-;-
1313;7350043851941;Not found;-;-
1314;7350043852283;Not found;-;-
1315;7350043852436;Not found;-;-
1316;7350043852443;Not found;-;-
1317;7350043852481;Not found;-;-
1318;7350043854355;Not found;-;-
1319;7350043920111;Not found;-;-
1320;7350043984991;Not found;-;-
1321;7350044313110;Not found;-;-
1322;7350044313318;Not found;-;-
1323;7350044541230;Not found;-;-
1324;7350044553011;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1325;7350044553028;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1326;7350044553035;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1327;7350044555015;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1328;7350044555022;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1329;7350044555039;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1330;7350044555510;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1331;7350044555527;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1332;7350044555534;Benny Kajsson;Last updated: 2016-08-05;(GLN: 7350044550003, GCP: 735 004455)
1333;7350046095106;INASPOTATIS KB;Last updated: 2015-11-23;(GLN: 7350046090002, GCP: 735 004609)
1334;7350046095168;INASPOTATIS KB;Last updated: 2015-11-23;(GLN: 7350046090002, GCP: 735 004609)
1335;7350046100213;Smålandskräftan AB;Last updated: 2016-07-21;(GLN: 7300009006878, GCP: 735 004610)
1336;7350046100220;Smålandskräftan AB;Last updated: 2016-07-21;(GLN: 7300009006878, GCP: 735 004610)
1337;7350046100954;Smålandskräftan AB;Last updated: 2016-07-21;(GLN: 7300009006878, GCP: 735 004610)
1338;7350046101104;Smålandskräftan AB;Last updated: 2016-07-21;(GLN: 7300009006878, GCP: 735 004610)
1339;7350047040013;;Broken at gs1.se;()
1340;7350047040051;;Broken at gs1.se;()
1341;7350047040075;;Broken at gs1.se;()
1342;7350047040099;;Broken at gs1.se;()
1343;7350047040105;;Broken at gs1.se;()
1344;7350047045018;;Broken at gs1.se;()
1345;7350047045032;;Broken at gs1.se;()
1346;7350047045094;;Broken at gs1.se;()
1347;7350047045230;;Broken at gs1.se;()
1348;7350047045407;;Broken at gs1.se;()
1349;7350047049276;;Broken at gs1.se;()
1350;7350047060059;Not found;-;-
1351;7350047060097;Not found;-;-
1352;7350047060103;Not found;-;-
1353;7350047060400;Not found;-;-
1354;7350047065092;Not found;-;-
1355;7350047065238;Not found;-;-
1356;7350047090100;Not found;-;-
1357;7350047090230;Not found;-;-
1358;7350047099103;Not found;-;-
1359;7350047099271;Not found;-;-
1360;7350047119108;Not found;-;-
1361;7350047150095;Not found;-;-
1362;7350047150101;Not found;-;-
1363;7350047160230;Not found;-;-
1364;7350047169103;Not found;-;-
1365;7350047200073;Not found;-;-
1366;7350048670004;Not found;-;-
1367;7350048670011;Not found;-;-
1368;7350048670042;Not found;-;-
1369;7350048670097;Not found;-;-
1370;7350048670103;Not found;-;-
1371;7350048670110;Not found;-;-
1372;7350048670127;Not found;-;-
1373;7350048670158;Not found;-;-
1374;7350048670165;Not found;-;-
1375;7350048670738;Not found;-;-
1376;7350049440231;Not found;-;-
1377;7350049801827;Not found;-;-
1378;7350050150006;Not found;-;-
1379;7350050900014;Svenska Bönchips AB;Last updated: 2016-02-19;(GLN: 7350050900007, GCP: 735 005090)
1380;7350050900021;Svenska Bönchips AB;Last updated: 2016-02-19;(GLN: 7350050900007, GCP: 735 005090)
1381;7350050900038;Svenska Bönchips AB;Last updated: 2016-02-19;(GLN: 7350050900007, GCP: 735 005090)
1382;7350050900045;Svenska Bönchips AB;Last updated: 2016-02-19;(GLN: 7350050900007, GCP: 735 005090)
1383;7350050910013;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1384;7350050910037;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1385;7350050910082;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
